#         q            M           r           M*(1-1/r)        s
  1.300696e+00  2.231165e+00  2.496055e+00  1.337467e+00  3.005253e+00
  1.306815e+00  2.243900e+00  2.506621e+00  1.348991e+00  2.991166e+00
  1.312814e+00  2.256799e+00  2.516908e+00  1.359963e+00  2.977692e+00
  1.319485e+00  2.269864e+00  2.528066e+00  1.371582e+00  2.963323e+00
  1.326224e+00  2.283098e+00  2.539084e+00  1.383803e+00  2.949250e+00
  1.332671e+00  2.296505e+00  2.549393e+00  1.396109e+00  2.936196e+00
  1.339638e+00  2.310086e+00  2.560343e+00  1.407981e+00  2.922608e+00
  1.347018e+00  2.323844e+00  2.571774e+00  1.419861e+00  2.908659e+00
  1.354103e+00  2.337783e+00  2.582544e+00  1.432605e+00  2.895652e+00
  1.361177e+00  2.351905e+00  2.593159e+00  1.445502e+00  2.883015e+00
  1.368613e+00  2.366213e+00  2.604193e+00  1.457994e+00  2.870091e+00
  1.376422e+00  2.380711e+00  2.615486e+00  1.470590e+00  2.857026e+00
  1.384472e+00  2.395402e+00  2.626842e+00  1.483475e+00  2.844056e+00
  1.392588e+00  2.410288e+00  2.638125e+00  1.496537e+00  2.831368e+00
  1.400772e+00  2.425374e+00  2.649325e+00  1.509894e+00  2.818942e+00
  1.409062e+00  2.440661e+00  2.660454e+00  1.523476e+00  2.806745e+00
  1.417473e+00  2.456155e+00  2.671502e+00  1.536805e+00  2.794824e+00
  1.426105e+00  2.471858e+00  2.682585e+00  1.550144e+00  2.783023e+00
  1.435086e+00  2.487774e+00  2.693874e+00  1.564214e+00  2.771086e+00
  1.444240e+00  2.503906e+00  2.705227e+00  1.578545e+00  2.759249e+00
  1.453468e+00  2.520258e+00  2.716541e+00  1.592579e+00  2.747698e+00
  1.463119e+00  2.536835e+00  2.728074e+00  1.606675e+00  2.736053e+00
  1.473125e+00  2.553639e+00  2.739724e+00  1.621099e+00  2.724383e+00
  1.482980e+00  2.570674e+00  2.751019e+00  1.635843e+00  2.713243e+00
  1.492957e+00  2.587946e+00  2.762217e+00  1.650819e+00  2.702366e+00
  1.503485e+00  2.605457e+00  2.773735e+00  1.665964e+00  2.691302e+00
  1.514248e+00  2.623212e+00  2.785319e+00  1.681436e+00  2.680336e+00
  1.525125e+00  2.641215e+00  2.796849e+00  1.697163e+00  2.669592e+00
  1.536510e+00  2.659471e+00  2.808605e+00  1.712693e+00  2.658737e+00
  1.548261e+00  2.677984e+00  2.820460e+00  1.728149e+00  2.647902e+00
  1.559924e+00  2.696758e+00  2.832049e+00  1.744006e+00  2.637487e+00
  1.571646e+00  2.715799e+00  2.843461e+00  1.760244e+00  2.627387e+00
  1.583725e+00  2.735111e+00  2.854919e+00  1.776725e+00  2.617359e+00
  1.596374e+00  2.754698e+00  2.866606e+00  1.793395e+00  2.607218e+00
  1.609452e+00  2.774566e+00  2.878428e+00  1.810333e+00  2.597064e+00
  1.622487e+00  2.794719e+00  2.890010e+00  1.827723e+00  2.587279e+00
  1.635747e+00  2.815164e+00  2.901527e+00  1.845291e+00  2.577695e+00
  1.649737e+00  2.835905e+00  2.913333e+00  1.862648e+00  2.567950e+00
  1.664035e+00  2.856947e+00  2.925133e+00  1.880125e+00  2.558310e+00
  1.678282e+00  2.878296e+00  2.936674e+00  1.898079e+00  2.549014e+00
  1.692814e+00  2.899958e+00  2.948183e+00  1.916465e+00  2.539860e+00
  1.707830e+00  2.921938e+00  2.959793e+00  1.935081e+00  2.530736e+00
  1.723271e+00  2.944243e+00  2.971451e+00  1.953636e+00  2.521700e+00
  1.739107e+00  2.966878e+00  2.983116e+00  1.972252e+00  2.512766e+00
  1.755351e+00  2.989849e+00  2.994771e+00  1.991256e+00  2.503918e+00
  1.772089e+00  3.013163e+00  3.006486e+00  2.010627e+00  2.495129e+00
  1.789334e+00  3.036826e+00  3.018280e+00  2.030303e+00  2.486406e+00
  1.806819e+00  3.060845e+00  3.029948e+00  2.050448e+00  2.477867e+00
  1.824509e+00  3.085225e+00  3.041454e+00  2.071000e+00  2.469528e+00
  1.842757e+00  3.109976e+00  3.053049e+00  2.091538e+00  2.461242e+00
  1.861575e+00  3.135102e+00  3.064710e+00  2.112142e+00  2.453011e+00
  1.880690e+00  3.160612e+00  3.076185e+00  2.133279e+00  2.444966e+00
  1.900173e+00  3.186512e+00  3.087550e+00  2.154775e+00  2.437068e+00
  1.920259e+00  3.212811e+00  3.099020e+00  2.176236e+00  2.429211e+00
  1.941064e+00  3.239515e+00  3.110624e+00  2.197848e+00  2.421362e+00
  1.962547e+00  3.266634e+00  3.122286e+00  2.219917e+00  2.413556e+00
  1.984324e+00  3.294174e+00  3.133772e+00  2.242582e+00  2.405946e+00
  2.006275e+00  3.322144e+00  3.145015e+00  2.265758e+00  2.398579e+00
  2.028799e+00  3.350552e+00  3.156256e+00  2.289071e+00  2.391291e+00
